# col1_1 col2_1     col3_1      col4_1 col5_1 col6_1 col7_1 col1_2 col3_2     col4_2      col5_2 col6_2 col7_2 col8       col9       col10    col11       col12      col13     col14       col15      col16    col17     col18      col19    col20     col21      col22    col23    col24     col25   col26    col27      col28    col29    col30     col31   col32    col33      col34   col35    col36      col37    col38   col39      col40    col41   col42     col43   col44   col45     col46    col47   col48     col49   col50   col51     col52   col53   col54    col55    col56   col57    col58   col59    col60      col61   col62      col63 col64  col65  col66 col67 col68  col69  col70 col71 col72 col73   Separation          
  36     53.1912498 -27.8722229 0.97   11.79  0.0    4314   4314   53.191309  -27.8721058 27.96  0      0.0    0.335825   0.0175481  116416.0 0.344303    0.00856069 0.0245734 0.371721    0.0258966  7686.93  0.750543  0.0156975  10139.5  1.80708   0.0342629  9841.96  1.95922  0.0361421 7724.55 2.78245  0.0442495  24260.2  -99.0    -99.0     0.0     3.3795   0.0568752  2595.5  4.79429  0.0325905  3266.47  5.86134 0.0456098  2914.33  9.33105 0.133111  115.378 -99.0   -99.0     0.0      19.6045 0.111247  1108.07 15.8824 0.105682  697.94  16.0014 0.383535 226470.0 16.3374 0.391273 25370.8 5.4705   0.0425685  5.86134 0.0620832  24.65 8.056  4.366  3.97  4.212 7.925  12.401 -7.5  1.071 0     786.0   0.46174245695320476 
  38     53.1069984 -27.7180557 2.3    12.33  0.87   22603  22603  53.1070159 -27.7182256 28.34  0      0.0    0.0273023  0.013304   116346.0 0.0136593   0.00347463 0.0307268 0.0476133   0.0232266  6339.57  0.183798  0.0161642  7381.65  0.29037   0.0327198  6830.32  0.274125 0.0325955 5948.06 0.457074 0.0375516  15508.5  0.572045 0.0355069 4907.39 -99.0    -99.0      0.0     1.77638  0.0242188  4998.19  3.98822 0.0303931  4956.98  7.56503 0.230562  48.5076 -99.0   -99.0     0.0      16.9223 0.0795127 1955.13 31.5905 0.0550608 2360.44 76.0048 0.350019 231172.0 168.147 0.368064 25360.3 3.81709  0.0290889  3.98822 0.035963   10.3  6.418  4.889  3.5   3.162 6.446  10.57  -5.6  1.045 0     769.0   0.6141773692501494  
  42     53.1082497 -27.7975006 1.88   12.07  0.67   12526  12526  53.1083396 -27.7976454 28.6   0      0.0    0.141326   0.0195307  113565.0 0.149749    0.00767944 0.0211289 0.234013    0.0225925  7405.48  0.286353  0.0154046  7229.53  0.410314  0.0255256  10314.2  0.506159 0.0180721 20105.9 0.652239 0.0317932  22544.4  -99.0    -99.0     0.0     0.92117  0.0192429  8371.47 1.41796  0.0186794  9913.14  2.12982 0.0223045  10581.4  2.92321 0.0896317 203.351 3.37811 0.0242151 305.822  7.04321 0.0779688 4279.03 8.52587 0.097761  1508.08 11.2208 0.339607 455572.0 7.8131  0.368685 51125.8 1.92562  0.020166   2.12982 0.0280292  13.28 6.378  4.444  3.74  3.316 6.459  10.918 -38.2 1.106 0     622.0   0.5947235079369403  
  44     53.1058731 -27.771389  0.9    11.56  0.0    16617  16617  53.1059288 -27.7714124 28.62  0      0.03   0.717993   0.0175951  115656.0 0.735779    0.010021   0.0292808 0.879008    0.0372124  6823.62  2.31106   0.0289622  6482.61  5.38452   0.0493387  10550.2  5.97608  0.0348713 20992.1 7.5413   0.0567179  23892.8  -99.0    -99.0     0.0     8.96622  0.0332152  8663.68 12.5551  0.029907   9882.74  14.8766 0.0341589  10716.0  23.7669 0.130133  170.797 24.5117 0.0246665 325.375  35.3222 0.0839111 2351.86 26.3908 0.0791426 1465.83 27.9477 0.339851 320041.0 21.6673 0.386487 31195.9 14.9768  0.0343889  14.8766 0.0336102  8.55  6.91   6.315  3.5   2.947 6.093  11.091 72.7  0.993 0     1762.0  0.19640580494060272 
  45     53.0727081 -27.8341675 1.62   12.48  0.06   8281   8281   53.07269   -27.8342062 28.65  0      0.0    -0.0117257 0.0166271  112098.0 -6.29463E-5 0.00438106 0.0328963 0.0624739   0.0357957  4633.91  0.0804761 0.0252826  5190.41  0.409229  0.0466386  6253.46  0.498776 0.0242229 19579.6 0.867271 0.0486236  19457.8  -99.0    -99.0     0.0     2.0402   0.0435764  7858.86 3.62974  0.0253541  10521.9  6.51425 0.0306279  11133.7  13.1945 0.121793  177.033 13.0852 0.0435538 158.01   33.9632 0.058613  4112.83 41.3419 0.0728478 1545.48 38.3025 0.282146 424501.0 31.5282 0.30055  45778.2 6.31142  0.0296742  6.51425 0.0370103  20.62 8.532  6.795  3.53  4.793 9.134  14.146 14.7  1.032 0     1433.0  0.15076557867507417 
  47     53.137001  -27.6900005 1.04   11.74  0.0    25295  25295  53.1370748 -27.6899682 28.35  0      0.03   0.258444   0.0186199  109813.0 0.268441    0.00842221 0.0235983 0.347317    0.0360081  7005.89  1.02085   0.0285109  6342.94  2.92333   0.0542339  7920.91  3.66833  0.0899236 2952.56 5.91162  0.0760098  17263.0  6.66755  0.062857  5047.57 -99.0    -99.0      0.0     11.6083  0.0404114  5055.9   15.8555 0.0488618  5067.63  27.3541 0.413598  45.1097 -99.0   -99.0     0.0      49.7717 0.118541  972.806 40.1667 0.0829502 1148.5  30.3236 0.378107 215461.0 27.6852 0.397397 24475.6 15.7381  0.0485     15.8555 0.0510903  9.3   8.709  6.771  3.5   3.374 7.439  14.189 1.3   1.007 0     2018.0  0.26242140755538107 
  49     53.2021255 -27.9044437 0.83   11.51  0.0    1742   1742   53.2019846 -27.9044523 27.79  0      0.03   1.51536    0.022362   115926.0 1.48845     0.0151575  0.0199786 1.92667     0.0322236  16070.2  4.05257   0.0179996  23456.6  9.81082   0.0343741  28355.3  10.7163  0.103331  3964.96 13.7039  0.0513612  43156.1  -99.0    -99.0     0.0     16.3642  0.104739   2580.9  20.6501  0.0752631  2107.25  25.479  0.0942684  2124.1   34.396  0.1555    129.22  -99.0   -99.0     0.0      46.9468 0.123112  1144.57 32.1019 0.134254  543.973 31.3862 0.429039 217843.0 21.6726 0.426722 24985.4 24.9051  0.0921449  25.479  0.103539   8.92  9.586  8.898  3.54  4.143 9.33   17.679 89.3  1.023 0     2592.0  0.4493307299044487  
  50     53.1313324 -27.8147221 1.9    12.01  0.28   10493  10493  53.1313426 -27.8149379 28.52  0      0.0    0.157774   0.0204706  110382.0 0.187907    0.00868658 0.0233765 0.308968    0.0315417  4990.79  0.441976  0.0226129  6113.29  0.67973   0.0378228  8281.52  0.706918 0.0257832 16454.2 1.01897  0.0482383  16502.7  -99.0    -99.0     0.0     1.61092  0.0231139  8306.14 2.52425  0.0260846  8305.26  3.74059 0.0312843  8929.8   5.75622 0.133472  140.028 6.12036 0.0311871 324.875  14.0919 0.0664792 4390.71 16.4486 0.0917169 1290.69 18.5495 0.301957 478073.0 12.6718 0.313141 53493.0 3.43254  0.0287079  3.74059 0.0428481  39.91 9.181  5.858  3.83  5.456 9.83   15.029 -8.8  1.09  0     1082.0  0.7775585602296095  
  51     53.098793  -27.7363892 1.77   11.96  0.14   20568  20568  53.0988163 -27.7365907 28.4   0      0.0    0.718841   0.0213135  114506.0 0.714755    0.0106883  0.0363599 1.05568     0.0508896  4760.29  1.47216   0.0283683  7405.55  2.31365   0.0511452  8555.67  2.55275  0.0414228 12934.1 3.17587  0.0573459  19400.9  3.89145  0.0612821 4984.62 -99.0    -99.0      0.0     7.74579  0.0393351  5445.79  9.89174 0.0477127  5584.34  13.1772 0.140323  213.249 -99.0   -99.0     0.399999 24.7985 0.0667802 3323.75 28.8293 0.0444293 4390.99 25.8086 0.378107 249127.0 20.3033 0.401588 27896.3 9.45218  0.0455925  9.89174 0.0569228  11.17 10.211 8.486  3.5   4.929 11.047 18.907 7.6   1.047 0     2108.0  0.7291892964919708  
  52     53.052166  -27.7183342 1.79   12.11  0.15   22642  22642  53.0522692 -27.7183275 28.35  0      0.0    0.0221299  0.0215226  116346.0 0.0150567   0.00693668 0.0241644 0.0559007   0.0225526  6865.28  0.093961  0.0166561  6927.84  0.22068   0.034488   6113.39  0.235244 0.0278718 7971.01 0.242758 0.0435058  13187.4  0.496667 0.0353604 5056.66 -99.0    -99.0      0.0     1.15856  0.0239616  5022.55  1.9005  0.0302544  5012.13  3.46059 0.168596  116.922 -99.0   -99.0     0.0      10.5055 0.0707343 3492.21 14.6742 0.0456928 4758.44 17.312  0.425641 201995.0 15.0279 0.457461 23826.9 1.58834  0.0252851  1.9005  0.0429433  35.43 8.982  3.878  4.07  5.087 9.615  15.636 -89.8 1.197 0     618.0   0.3297694466134271  
